0,1,2,3,4,5
1.0,The Declaration of Independence of the United States of America by Thomas Jefferson,English,"Jefferson, Thomas",-,"Dec 1, 1971"
2.0,The United States Bill of Rights by United States,English,United States,-,"Dec 1, 1972"
3.0,John F. Kennedy's Inaugural Address by John F. Kennedy,English,"Kennedy, John F. (John Fitzgerald)",-,"Nov 1, 1973"
4.0,Lincoln's Gettysburg Address by Abraham Lincoln,English,"Lincoln, Abraham",-,"Nov 1, 1973"
5.0,The United States Constitution by United States,English,United States,-,"Dec 1, 1975"
6.0,Give Me Liberty or Give Me Death by Patrick Henry,English,"Henry, Patrick",-,"Dec 1, 1976"
7.0,The Mayflower Compact,English,Unavailable,-,"Dec 1, 1977"
8.0,Abraham Lincoln's Second Inaugural Address by Abraham Lincoln,English,"Lincoln, Abraham",-,"Dec 1, 1978"
9.0,Abraham Lincoln's First Inaugural Address by Abraham Lincoln,English,"Lincoln, Abraham",-,"Dec 1, 1979"
10.0,The King James Version of the Bible,English,Unavailable,-,"Aug 1, 1989"
11.0,Alice's Adventures in Wonderland by Lewis Carroll,English,"Carroll, Lewis",-,"Jun 27, 2008"
12.0,Through the Looking-Glass by Lewis Carroll,English,"Carroll, Lewis",-,"Jun 25, 2008"
13.0,The Hunting of the Snark: An Agony in Eight Fits by Lewis Carroll,English,"Carroll, Lewis",-,"Jun 25, 2008"
14.0,The 1990 CIA World Factbook by United States. Central Intelligence Agency,English,United States. Central Intelligence Agency,-,"Apr 1, 1991"
15.0,"Moby-Dick; or, The Whale by Herman Melville",English,"Melville, Herman",-,"May 1, 1991"
16.0,Peter Pan by J. M. Barrie,English,"Barrie, J. M. (James Matthew)",-,"Jun 25, 2008"
17.0,The Book of Mormon by Church of Jesus Christ of Latter-day Saints and Smith,English,Church of Jesus Christ of Latter-day Saints,-,"Jun 25, 2008"
18.0,"The Federalist Papers by Alexander Hamilton, John Jay, and James Madison",English,"Hamilton, Alexander",-,"Aug 1, 1991"
19.0,The Song of Hiawatha by Henry Wadsworth Longfellow,English,"Longfellow, Henry Wadsworth",-,"Jun 1, 2004"
20.0,Paradise Lost by John Milton,English,"Milton, John",-,"Oct 1, 1991"
21.0,Aesop's Fables by Aesop,English,"Aesop, 621? BCE-565? BCE",-,"Jun 25, 2008"
22.0,Roget's Thesaurus by Peter Mark Roget,English,"Roget, Peter Mark",-,"Dec 1, 1991"
23.0,"Narrative of the Life of Frederick Douglass, an American Slave by Douglass",English,"Douglass, Frederick",-,"Jan 12, 2006"
24.0,O Pioneers! by Willa Cather,English,"Cather, Willa",-,"Jun 27, 2008"
25.0,The 1991 CIA World Factbook by United States. Central Intelligence Agency,English,United States. Central Intelligence Agency,-,"Feb 1, 1992"
26.0,Paradise Lost by John Milton,English,"Milton, John",-,"Feb 1, 1992"
27.0,Far from the Madding Crowd by Thomas Hardy,English,"Hardy, Thomas",-,"Mar 1, 1992"
28.0,The Fables of Aesop by Aesop,English,"Aesop, 621? BCE-565? BCE",-,"Mar 1, 1992"
